"HGNC_Symbol","logFC","raw_P.value","adj_P.value"
"SPR",-0.672132545276299,0.0176503625169119,0.577471389453634
"EFHC2",0.400081901641365,0.0176542332292142,0.577471389453634
"WDR49",1.11995345718038,0.0176995007672901,0.577471389453634
"RPL36A-HNRNPH2",0.393088735701012,0.0177496397555599,0.577471389453634
"LRFN4",-0.431418590707331,0.0177655415639042,0.577471389453634
"ADRA2A",-0.732119128787186,0.0178118355027378,0.577471389453634
"PCDHGC3",-1.19102388948524,0.0178611984448372,0.577471389453634
"KLHL24",0.302954066103305,0.0178679022147962,0.577471389453634
"TMPPE",0.477727091434931,0.0179196859717519,0.577471389453634
"SRM",-0.304600944421936,0.0179257350786663,0.577471389453634
"PSMB5",-0.27546977708432,0.0180877532166337,0.577471389453634
"SNX16",0.382653448190019,0.0181225936816311,0.577471389453634
"ANXA4",-0.261824361910632,0.0182875927873309,0.577471389453634
"LINC00504",0.331422533590827,0.0183352152999879,0.577471389453634
"CES1",-0.311812870578442,0.0183401203561783,0.577471389453634
"SBK1",-0.363551116919303,0.0183674229560532,0.577471389453634
"CXCR6",-0.477592972165157,0.0183774278398687,0.577471389453634
"AHCY",-0.254769099473497,0.0183996336255964,0.577471389453634
"TOMM22",-0.29974003535124,0.0184272854283719,0.577471389453634
"SYNE2",0.388801377153793,0.0184558560604317,0.577471389453634
"ADCK1",-0.308337645143447,0.0186145269794173,0.577471389453634
"MED13",0.424012469083931,0.0186414034737441,0.577471389453634
"PKN2",0.543682829005001,0.0187023217886779,0.577471389453634
"ATP7A",0.343651785188897,0.0187671451419925,0.577471389453634
"N4BP2L2",0.310903247537895,0.0187946001131712,0.577471389453634
"ZNF397",0.296128149226543,0.0188026538983657,0.577471389453634
"HIPK3",0.619572341537246,0.0189048196980174,0.577471389453634
"FFAR4",-0.773944633999907,0.0189915986387022,0.577471389453634
"MYO9A",0.283335286034833,0.0190259075982386,0.577471389453634
"BLZF1",0.326743411753967,0.0190325010029048,0.577471389453634
"DPM1",0.303373640195573,0.019054605785938,0.577471389453634
"PTP4A1",0.333293733056352,0.0191546922299612,0.577471389453634
"TLR6",0.533203285339853,0.0193132710436339,0.577471389453634
"DHRS3",-0.466696171097329,0.0193524002197777,0.577471389453634
"CXCL5",0.394641995293264,0.0194256571344406,0.577471389453634
"GPR35",-0.323704985996083,0.0194375461038108,0.577471389453634
